id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2152513,Holiday Apartment No 7,10121573,Margarita,,Χανίων,35.468,24.12553,Entire home/apt,65,3,10,2018-08-21,0.17,5,262
2167070,creteview vila Elektra,8648039,Crete,,Χανίων,35.49965,24.16308,Entire home/apt,395,7,1,2017-07-03,0.04,3,294
2172979,Petros' House,11085633,Πετροσ,,Χανίων,35.46863,24.11857,Entire home/apt,100,1,18,2019-05-31,0.30,1,314
2183292,Poseidon Apartment 3,11133579,Christos,,Χανίων,35.51029,23.98574,Entire home/apt,40,2,3,2016-09-01,0.06,8,120
2188211,Braos  house- Kato Rodakino Crete,10580415,Giannis,,Αγίου Βασιλείου,35.19973,24.31716,Entire home/apt,100,4,5,2017-08-16,0.08,3,287
2190925,Luxury Villa near Heraklion,2328952,Dimitris,,Ηρακλείου,35.26579,25.07132,Entire home/apt,68,3,21,2019-05-13,0.37,2,344
2194479,Cozy stone home w/ private garden and smart tv,11193009,Aggeliki,,Χανίων,35.49978,24.01046,Entire home/apt,60,2,93,2019-06-05,1.47,15,319
2195812,"Dorothy's Dream, amazing view, history and luxury",145308,Eirini,,Χανίων,35.51786,24.01838,Entire home/apt,400,3,37,2019-06-19,0.73,1,291
2199386,Poseidon Studio 1,11133579,Christos,,Χανίων,35.50965,23.98762,Entire home/apt,30,2,39,2019-06-05,0.63,8,171
2212345,AKTI-Villa  & studios by the beach,11285373,Lito,,Κισσάμου,35.49773,23.67253,Entire home/apt,285,3,8,2018-11-01,0.32,4,293
2215220,"ONLY FOR 2, COSY STONE VILLA PRIVATE POOL WiFi BBQ",11298823,Georgia,,Πλατανιά,35.51641,23.85731,Entire home/apt,185,2,15,2019-06-19,0.60,3,256
2215885,Lemon Tree Garden House,11302770,Katerina,,Χανίων,35.47579,24.04154,Entire home/apt,40,7,49,2019-02-25,0.80,1,212
2219468,"Fantastic room NR 2 old town,habour",696551,Lena,,Χανίων,35.51757,24.01627,Private room,55,1,44,2018-07-19,0.71,16,360
2219528,"Small Apartment in the old town , old habour",696551,Lena,,Χανίων,35.51873,24.01438,Private room,25,7,10,2017-11-24,0.16,16,321
2219681,"AUTHENTIC OLD MANSION for 8, PRIVATE POOL, WiFi",11298823,Georgia,,Πλατανιά,35.51603,23.85663,Entire home/apt,370,2,3,2018-09-24,0.08,3,260
2219903,Cretan villa unique view of the sea,10864431,Margit,,Κισσάμου,35.47213,23.59467,Entire home/apt,155,7,16,2019-06-02,0.26,1,6
2219947,Deluxe Suite with private yard and Hot Tub,682052,George,,Καντάνου - Σέλινου,35.2481,23.80945,Entire home/apt,100,3,41,2019-06-14,0.66,11,194
2229696,"Chania Villa MINOOS, old town,old habour",696551,Lena,,Χανίων,35.51558,24.02209,Entire home/apt,115,3,3,2019-05-25,0.06,16,349
2231676,"Kalithea villa Chania Crete,  privete pool  view",11390187,Dimitris,,Αποκορώνου,35.38919,24.13448,Entire home/apt,410,2,1,2019-03-01,0.25,1,265
2234784,"singel room NR 3,old town Chania,",696551,Lena,,Χανίων,35.51866,24.01593,Private room,38,1,113,2019-06-09,1.82,16,323
2239987,Apartment with sea view,11437915,Manolis,,Αγίου Νικολάου,35.29912,25.72761,Entire home/apt,60,7,0,,,5,300
2245681,Traditional Villa in the mountain,10194044,Jordi And Anna,,Κισσάμου,35.45433,23.65138,Entire home/apt,120,3,20,2019-05-16,0.35,1,340
2247209,Luxurious Villa Martin with private pool & seaview,3590464,"Villa Lux, Karina",,Χανίων,35.54731,24.07581,Entire home/apt,612,3,1,2014-10-21,0.02,3,308
2252020,Querini villa Maria,9437252,Manolis,,Αποκορώνου,35.34642,24.20687,Entire home/apt,80,6,3,2019-05-05,0.05,2,251
2253362,Sunny 2 BR with view!,9726205,Maria-Stella,,Χερσονήσου,35.30272,25.35209,Private room,70,2,0,,,2,365
2258060,6 Bedroom Villa With Private Pool,11168857,Unique Villas,,Χανίων,35.50744,23.9366,Entire home/apt,190,5,6,2019-06-03,0.14,169,298
2258250,Villa Lene- unique luxury villa w/ heated pool,3590464,"Villa Lux, Karina",,Χανίων,35.55918,24.08766,Entire home/apt,1080,4,1,2018-09-03,0.10,3,41
2260499,Apartment 2-4 Adults Garden View,11437915,Manolis,,Αγίου Νικολάου,35.29921,25.72714,Entire home/apt,50,5,0,,,5,319
2270024,Poseidon Apartment 1,11133579,Christos,,Χανίων,35.51151,23.98781,Entire home/apt,40,2,18,2019-05-12,0.30,8,163
2270387,Poseidon Studio 2,11133579,Christos,,Χανίων,35.50962,23.98612,Entire home/apt,30,2,34,2019-06-11,0.55,8,150
2270588,"Marina's Cosy Apartment, 5 min walk to the beach",11594683,Benny & Marina,,Χερσονήσου,35.29199,25.42604,Entire home/apt,35,4,26,2019-06-14,0.45,2,279
2271287,Family Villa with Private Pool,8907907,Danae,,Χερσονήσου,35.30552,25.39305,Entire home/apt,194,7,0,,,2,117
2280727,Tersanas Villa with private pool seaview & sunsets,3590464,"Villa Lux, Karina",,Χανίων,35.57649,24.07354,Entire home/apt,302,3,3,2018-05-21,0.08,3,0
2285920,Luxury Holiday Villa with Pool,11168857,Unique Villas,,Χανίων,35.50705,23.92802,Entire home/apt,115,6,1,2015-08-05,0.02,169,309
2286032,"Luxury Villa With Gym, Chania Crete",11168857,Unique Villas,,Πλατανιά,35.50949,23.8121,Entire home/apt,260,5,1,2018-09-05,0.10,169,288
2289819,House upon the beach 1,11696677,Michalis,,Χερσονήσου,35.29457,25.46691,Entire home/apt,60,3,33,2019-06-13,0.53,1,228
